year	category	value	product	domestic_global	on_prem_cloud	biz_type	ww010	upload_year
2028	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	marketshare	vf219 / TAM	Brity Automation	Domestic	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	tam	743.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2025	ext_sam	374.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2025	rnd	0.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2025	tam_grw	0.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2025	sam_grw	0.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2025	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2025	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2025	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2025	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2025	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2025	marketshare	vf219 / TAM	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2026	tam	847.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2026	ext_sam	424.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2026	rnd	0.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2026	tam_grw	0.1400	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2026	sam_grw	0.1337	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2026	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2026	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2026	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2026	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2026	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2026	marketshare	vf219 / TAM	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2027	tam	971.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2027	ext_sam	489.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2027	rnd	0.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2027	tam_grw	0.1464	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2027	sam_grw	0.1533	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2027	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2027	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2027	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2027	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2027	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2027	marketshare	vf219 / TAM	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2028	tam	1105.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2028	ext_sam	560.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2028	rnd	0.0000	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2028	tam_grw	0.1380	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2028	sam_grw	0.1452	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2028	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2028	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2028	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2028	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2028	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2028	marketshare	vf219 / TAM	Brity Automation	Domestic	On-prem	Solution	32000080 , 32000058 , 32000072	2025
2025	tam	601.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2025	ext_sam	331.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2025	rnd	0.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2025	tam_grw	0.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2025	sam_grw	0.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2025	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2025	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2025	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2025	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2025	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2025	marketshare	vf219 / TAM	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2026	tam	671.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2026	ext_sam	375.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2026	rnd	0.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2026	tam_grw	0.1165	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2026	sam_grw	0.1329	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2026	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2026	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2026	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2026	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2026	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2026	marketshare	vf219 / TAM	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2027	tam	738.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2027	ext_sam	413.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2027	rnd	0.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2027	tam_grw	0.0999	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2027	sam_grw	0.1013	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2027	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2027	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2027	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2027	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2027	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2027	marketshare	vf219 / TAM	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2028	tam	809.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2028	ext_sam	454.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2028	rnd	0.0000	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2028	tam_grw	0.0962	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2028	sam_grw	0.0993	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2028	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2028	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2028	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2028	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2028	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2028	marketshare	vf219 / TAM	Brity Automation	Domestic	Cloud	MSP	32000080 , 32000058 , 32000072	2025
2023	tam	0.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2023	ext_sam	0.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2023	rnd	33.5000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2023	tam_grw	0.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2023	sam_grw	0.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2023	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2023	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2023	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2023	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2023	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2023	marketshare	vf219 / TAM	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2024	tam	0.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2024	ext_sam	0.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2024	rnd	50.1000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2024	tam_grw	0.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2024	sam_grw	0.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2024	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2024	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2024	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2024	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2024	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2024	marketshare	vf219 / TAM	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2025	tam	124.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2025	ext_sam	46.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2025	rnd	35.1000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2025	tam_grw	0.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2025	sam_grw	0.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2025	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2025	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2025	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2025	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2025	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2025	marketshare	vf219 / TAM	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2026	tam	171.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2026	ext_sam	63.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2026	rnd	35.5000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2026	tam_grw	0.3790	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2026	sam_grw	0.3696	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2026	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2026	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2026	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2026	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2026	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2026	marketshare	vf219 / TAM	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2027	tam	233.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2027	ext_sam	87.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2027	rnd	36.9000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2027	tam_grw	0.3626	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2027	sam_grw	0.3810	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2027	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2027	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2027	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2027	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2027	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2027	marketshare	vf219 / TAM	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2028	tam	316.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2028	ext_sam	118.0000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2028	rnd	38.4000	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2028	tam_grw	0.3562	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2028	sam_grw	0.3563	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2028	sales_rto	vf599 / vf219 * 100	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2028	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2028	rnd_rto	rnd / vf219 * 100	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2028	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2028	revenue	l_sap.orderlist > vf219	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2028	marketshare	vf219 / TAM	Brity Automation	Domestic	Cloud	SaaS	32000080 , 32000058 , 32000072	2025
2025	tam	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	ext_sam	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	rnd	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	tam_grw	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	sam_grw	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	sales_rto	vf599 / vf219 * 100	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	rnd_rto	rnd / vf219 * 100	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	revenue	l_sap.orderlist > vf219	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2025	marketshare	vf219 / TAM	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	tam	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	ext_sam	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	rnd	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	tam_grw	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	sam_grw	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	sales_rto	vf599 / vf219 * 100	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	rnd_rto	rnd / vf219 * 100	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	revenue	l_sap.orderlist > vf219	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2026	marketshare	vf219 / TAM	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	tam	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	ext_sam	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	rnd	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	tam_grw	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	sam_grw	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	sales_rto	vf599 / vf219 * 100	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	sales_marketing	l_sap.orderlist > vf599	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	rnd_rto	rnd / vf219 * 100	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	revenue_grw	(vf219_N - vf219_N-1) / vf219_N-1	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	revenue	l_sap.orderlist > vf219	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2027	marketshare	vf219 / TAM	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	tam	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	ext_sam	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	rnd	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
2028	tam_grw	0.0000	Brity Automation	Global	On-prem	SI/SM	32000080 , 32000058 , 32000072	2025
